epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,157.091,0.97343,0.78335,1.0159,0.43698,0.4141,0.38301,0.22361,1.53378,1.9609,1.51627,0.00158366,0.00158366,0.00158366
103,158.539,0.96023,0.7635,1.01716,0.42831,0.43918,0.3469,0.19554,1.5126,2.17359,1.49012,0.00158283,0.00158283,0.00158283
104,160.061,0.9705,0.77547,1.02787,0.34577,0.41049,0.29682,0.16364,1.6183,2.48554,1.56047,0.00158201,0.00158201,0.00158201
105,161.53,0.93884,0.74167,1.02776,0.43405,0.32033,0.31521,0.16802,1.69032,2.27261,1.66187,0.00158118,0.00158118,0.00158118
106,163.028,0.96631,0.7412,1.01809,0.42135,0.38689,0.32665,0.1777,1.67524,1.99977,1.63735,0.00158036,0.00158036,0.00158036
107,164.488,0.95315,0.74008,0.99824,0.41,0.37918,0.33198,0.17745,1.59404,2.21055,1.57031,0.00157953,0.00157953,0.00157953
108,165.997,0.97123,0.74389,1.00824,0.34689,0.51683,0.33969,0.18857,1.58118,2.08258,1.59414,0.00157871,0.00157871,0.00157871
109,167.44,0.98987,0.74464,1.04265,0.38183,0.39869,0.2953,0.16457,1.60844,2.25452,1.66106,0.00157788,0.00157788,0.00157788
110,168.913,0.96613,0.72704,1.0191,0.49633,0.4023,0.37518,0.19464,1.59906,2.02973,1.59035,0.00157706,0.00157706,0.00157706
111,170.363,0.94771,0.75485,1.04109,0.53367,0.42391,0.40048,0.21585,1.51799,1.84104,1.48059,0.00157623,0.00157623,0.00157623
112,171.831,0.94494,0.73002,1.00221,0.39444,0.38689,0.32284,0.1777,1.52826,2.06176,1.49763,0.00157541,0.00157541,0.00157541
113,173.313,0.93334,0.73532,1.01321,0.4698,0.45246,0.37988,0.20081,1.5113,2.10643,1.48985,0.00157458,0.00157458,0.00157458
114,174.787,0.92442,0.68256,0.99204,0.52331,0.47869,0.46657,0.23765,1.56872,2.0173,1.51484,0.00157376,0.00157376,0.00157376
115,176.275,0.92671,0.72727,1.01829,0.53666,0.43869,0.40644,0.22463,1.57994,2.24714,1.53304,0.00157293,0.00157293,0.00157293
116,177.72,0.87937,0.66292,0.99123,0.49803,0.41955,0.36323,0.20018,1.64214,2.1061,1.5476,0.00157211,0.00157211,0.00157211
117,179.202,0.92098,0.70695,1.01755,0.46123,0.43864,0.39347,0.22383,1.63921,2.0073,1.52755,0.00157128,0.00157128,0.00157128
118,180.666,0.93288,0.70477,0.99912,0.56385,0.38439,0.39325,0.19805,1.63463,1.89814,1.579,0.00157046,0.00157046,0.00157046
119,182.14,0.88283,0.70146,0.9921,0.48548,0.39459,0.37778,0.20425,1.68764,1.89666,1.6212,0.00156963,0.00156963,0.00156963
120,183.634,0.89782,0.69301,0.99266,0.47683,0.46787,0.43573,0.25226,1.54194,1.68855,1.4741,0.00156881,0.00156881,0.00156881
121,185.118,0.86031,0.67059,0.97532,0.56365,0.3647,0.33147,0.19886,1.57361,1.97229,1.50765,0.00156798,0.00156798,0.00156798
122,186.596,0.90269,0.69812,0.99871,0.55133,0.35148,0.30068,0.16998,1.56327,2.16641,1.49222,0.00156716,0.00156716,0.00156716
123,188.105,0.89019,0.66445,0.99139,0.3152,0.39557,0.28448,0.16423,1.57396,2.14057,1.54715,0.00156633,0.00156633,0.00156633
124,189.588,0.8823,0.7065,0.99105,0.53563,0.44377,0.39852,0.18219,1.55935,1.9862,1.52719,0.0015655,0.0015655,0.0015655
125,191.046,0.89203,0.69302,0.99825,0.50519,0.51557,0.46446,0.20723,1.60923,1.94201,1.53832,0.00156468,0.00156468,0.00156468
126,192.54,0.87764,0.69754,0.98703,0.56712,0.49389,0.45605,0.22574,1.57705,1.95727,1.48325,0.00156385,0.00156385,0.00156385
127,194.015,0.87071,0.67095,0.98099,0.42024,0.43967,0.35574,0.20267,1.60722,1.78431,1.52016,0.00156303,0.00156303,0.00156303
128,195.465,0.89059,0.67933,0.99943,0.58006,0.24929,0.30982,0.18244,1.69873,2.08808,1.56841,0.0015622,0.0015622,0.0015622
