epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,4824.44,0.96474,0.43387,1.00479,0.98759,0.94291,0.97511,0.71629,1.0424,0.36479,1.03287,0.009208,0.009208,0.009208
162,4857.16,0.95951,0.42851,1.01248,0.98759,0.94285,0.97501,0.71613,1.04233,0.36519,1.03306,0.00920305,0.00920305,0.00920305
163,4890.64,0.96737,0.43708,1.00993,0.98807,0.94325,0.97544,0.71648,1.04252,0.36513,1.03319,0.0091981,0.0091981,0.0091981
164,4923.49,0.96171,0.43112,1.00362,0.98714,0.94214,0.97447,0.71591,1.04244,0.36512,1.0332,0.00919315,0.00919315,0.00919315
165,4956.38,0.96411,0.43023,1.007,0.98712,0.94308,0.97558,0.71606,1.04271,0.36528,1.03316,0.0091882,0.0091882,0.0091882
166,4989.19,0.95731,0.42979,1.00429,0.98711,0.94225,0.9756,0.71612,1.04272,0.36449,1.03316,0.00918325,0.00918325,0.00918325
167,5021.95,0.96799,0.43409,1.00982,0.98664,0.94185,0.97483,0.71626,1.04214,0.36447,1.03292,0.0091783,0.0091783,0.0091783
168,5054.54,0.95706,0.43161,1.00917,0.98615,0.94396,0.97558,0.71665,1.04222,0.36478,1.03319,0.00917335,0.00917335,0.00917335
169,5087.34,0.9589,0.43159,1.00049,0.986,0.94396,0.97543,0.7167,1.0424,0.36449,1.03315,0.0091684,0.0091684,0.0091684
170,5120.22,0.94926,0.42484,1.00622,0.9857,0.94396,0.97541,0.71658,1.04183,0.36435,1.03318,0.00916345,0.00916345,0.00916345
171,5152.91,0.96402,0.42708,1.00563,0.98533,0.94351,0.97477,0.71584,1.04161,0.36417,1.03288,0.0091585,0.0091585,0.0091585
172,5186.2,0.95614,0.42922,1.0015,0.98626,0.94351,0.97461,0.71605,1.04169,0.36439,1.03271,0.00915355,0.00915355,0.00915355
173,5218.9,0.95512,0.4282,1.00138,0.98621,0.94351,0.97457,0.71604,1.04148,0.36388,1.03257,0.0091486,0.0091486,0.0091486
